iter	RMSE
321	0.7897825745
322	0.7897509693
323	0.7897062693
324	0.7896855543
325	0.7896200715
326	0.7896056127
327	0.789575846
328	0.7895220316
329	0.7894840035
330	0.789460511
331	0.789427299
332	0.7894062741
333	0.7893726757
334	0.7893390481
335	0.7893067494
336	0.7892634981
337	0.7892188313
338	0.7891863313
339	0.7891142802
340	0.789068739
341	0.7890493572
342	0.7889957652
343	0.7889511294
344	0.7889186865
345	0.7888424003
346	0.7888092413
347	0.7887741941
348	0.7887281328
349	0.7886791728
350	0.7886522188
351	0.788626668
352	0.7886054159
353	0.7885836813
354	0.7885262994
355	0.7884985655
356	0.7884614509
357	0.7884313075
358	0.7884060652
359	0.7883758306
360	0.7883516906
361	0.7883288457
362	0.7882933241
363	0.7882724196
364	0.7882301736
365	0.7882151957
366	0.7881164162
367	0.788076221
368	0.7880725846
369	0.7880275112
370	0.7879754089
371	0.7879418751
372	0.7879121495
373	0.7878851952
374	0.7878475395
375	0.7878119928
376	0.7877900674
377	0.7877655636
378	0.7877111948
379	0.7876833789
380	0.7876333715
381	0.7876027072
382	0.7875760011
383	0.7875618706
384	0.7875304633
385	0.7874868215
386	0.7874443221
387	0.7874346988
388	0.7873502669
389	0.7873232382
390	0.7872761013
391	0.787241148
392	0.7872216692
393	0.7871730288
394	0.7871484876
395	0.7870913268
396	0.7870251757
397	0.7870025484
398	0.7869804516
399	0.7869415235
